run, cd, cl
1,2.3848566658e-01, -9.4516081781e-02
2,3.0541930003e-01, 1.5083035464e-01
3,2.4047351597e-01, 2.2527410672e-01
4,3.8193639963e-01, 1.1461028679e-01
5,2.5481603392e-01, -3.3455548361e-02
6,3.6013296383e-01, 4.8948631673e-01
7,3.3543675429e-01, -5.8771538003e-02
8,3.7182129039e-01, 3.8785918709e-01
9,3.5390064921e-01, -1.6458953732e-01
10,1.8888523355e-01, 1.4873152968e-01
11,3.2780176114e-01, -1.1852656482e-01
12,3.8282940310e-01, 3.9790251136e-01
13,3.5914224410e-01, 4.1769612416e-01
14,3.5283189434e-01, 4.6675108346e-01
15,2.9651847395e-01, -9.6316475449e-02
16,2.7705466044e-01, -3.0139179194e-02
17,2.9626658841e-01, -1.7472161400e-01
18,3.9028949059e-01, 5.0191265226e-01
19,3.0266813102e-01, -1.2179724261e-01
20,2.1756733918e-01, 2.0882088153e-01
21,2.4682208218e-01, 2.9531159559e-01
22,3.2887718324e-01, 2.5272650472e-03
23,3.6275570097e-01, 4.8278521470e-01
24,2.9117442265e-01, -1.6874689613e-02
25,2.9784843499e-01, -2.3215514375e-03
26,4.0871170904e-01, 4.1129105447e-01
27,2.2863463697e-01, 5.3845594743e-02
28,2.4584320151e-01, -5.0632991592e-02
29,2.7113940133e-01, -9.7653377772e-02
30,2.6817807855e-01, -6.0040137263e-02
31,2.8943363707e-01, -1.0799177813e-01
32,2.3689305608e-01, 2.7703915666e-02
33,2.2448300923e-01, -1.1186162241e-02
34,4.4333518623e-01, 4.8070378288e-01
35,2.4855053743e-01, -4.0388606420e-02
36,2.0306380519e-01, 1.9072942024e-01
37,3.3804455506e-01, -1.9545459962e-02
38,3.9171192709e-01, -1.2422348380e-01
39,2.9577853418e-01, -5.4678482333e-02
40,2.8107983039e-01, 3.4150704554e-02
41,3.9443883563e-01, 5.9976576632e-01
42,2.6763877398e-01, -7.7183984848e-02
43,2.3545372863e-01, -3.3979784598e-02
44,2.4128253838e-01, -3.7093287575e-02
45,2.2845407841e-01, -2.9044562747e-02
46,2.3079178540e-01, 9.4944675187e-02
47,2.8524390420e-01, -2.6352602607e-03
48,2.2789780267e-01, -1.2724751767e-02
49,2.7479217146e-01, -3.9883908310e-02
50,2.9706428727e-01, 5.6637618557e-03
51,3.2063445057e-01, -1.6100873160e-02
52,4.3188310301e-01, 2.8754453125e-02
53,2.7951324714e-01, -5.0036897148e-02
54,3.8371546959e-01, -2.0873291753e-01
55,2.9811807179e-01, 4.6571512494e-01
56,2.8602089673e-01, 5.6873972767e-02
57,2.7986968499e-01, 3.1467565608e-01
58,3.2821780776e-01, -1.5379887606e-01
59,3.4259959310e-01, 8.3134398768e-02
60,4.4804603583e-01, 5.3185559770e-01
61,3.2212278372e-01, -2.3931331997e-02
62,1.9399260939e-01, 1.4364051103e-01
63,1.9834324382e-01, 2.5131421023e-04
64,3.1970492547e-01, -1.6724438264e-01
65,3.1763442365e-01, 6.8144363060e-02
66,3.5554344888e-01, -1.3442381411e-01
67,3.1849688082e-01, 1.2469888371e-03
68,2.4098984941e-01, -7.7380364883e-04
69,2.3900825366e-01, 2.8519831507e-01
70,3.0128752985e-01, -1.4022972392e-01
71,2.8455851299e-01, 4.0476977188e-01
72,2.8472919752e-01, -1.4118820653e-01
73,3.3152479775e-01, 3.8769573857e-01
74,4.3665083492e-01, 4.6174107157e-01
75,3.4500640999e-01, 6.1743891386e-01
76,3.2593079148e-01, 3.4741503266e-01
77,2.8628461733e-01, -2.3096809934e-02
78,2.3442686109e-01, 8.0773652584e-03
79,3.5592612687e-01, 2.1102180648e-01
80,3.5085507250e-01, -4.6384770573e-02
81,3.2728406859e-01, 4.8526571236e-01
82,3.9746935316e-01, 5.6750194552e-01
83,2.4287329569e-01, -3.3621958544e-02
84,2.5637588560e-01, -4.1711133563e-02
85,1.9464329049e-01, -5.7499959888e-02
86,3.4020044872e-01, -5.7104729800e-02
87,2.8824655448e-01, -1.5659964863e-01
88,3.0638618669e-01, -6.1780137221e-02
89,2.5320756618e-01, 3.2285482658e-01
90,2.8272985687e-01, -9.2082904624e-02
91,3.2886032053e-01, -4.6688392106e-02
92,2.6695639804e-01, 6.4586544483e-02
93,1.9191933497e-01, 4.3750254138e-02
94,3.8478860965e-01, 6.0380429965e-01
95,2.6439259396e-01, -5.8931442744e-02
96,3.6806484613e-01, -1.4498329167e-01
97,2.5119574507e-01, 5.9015409895e-02
98,3.6092721877e-01, -1.7769516618e-02
99,2.2624351381e-01, -3.6866353507e-02
100,3.1341853534e-01, -4.4583536911e-02
101,3.2871799969e-01, 2.5929713129e-01
102,2.9986095322e-01, -7.3065065706e-02
103,2.1715429952e-01, -3.1301504993e-02
104,3.5160497881e-01, 1.5404450160e-02
105,3.3624586354e-01, 2.0526945848e-01
106,3.2589311793e-01, 1.8145424286e-01
107,4.3826624777e-01, 5.1719896549e-01
108,2.4374753689e-01, 1.8334183925e-01
109,3.2647325853e-01, 3.4832782127e-02
110,2.3642543219e-01, 2.2109977901e-01
111,3.3587115465e-01, 2.4121192595e-02
112,2.2988965729e-01, 1.6402838634e-01
113,2.8891283010e-01, -1.4988800992e-02
114,2.2080084334e-01, 1.6494676131e-01
115,2.5839103430e-01, 2.2825804957e-01
116,2.4044381021e-01, 3.1045947649e-02
117,1.8839600224e-01, -5.5244178796e-02
118,2.7413877490e-01, 4.8146146990e-02
119,2.5683670775e-01, 1.4468771519e-01
120,3.6618303799e-01, -1.9106139631e-01
121,2.2064771511e-01, -4.7199747095e-02
122,1.8665820721e-01, 3.2097922608e-02
123,2.1430080247e-01, 1.3113939349e-01
124,2.0287393962e-01, 7.6578981214e-03
125,2.8554325927e-01, -9.1605235050e-02
126,2.2499386061e-01, 1.1877377449e-01
